Device: tv, Data: {'device_id': 101, 'playback': 'Netflix', 'status': 'on', 'energy_consumption': 1.03, 'minutes_used': 120, 'timestamp': '2025-01-01 00:00:00'}
Device: tv, Data: {'device_id': 101, 'playback': 'Netflix', 'status': 'on', 'energy_consumption': 0.79, 'minutes_used': 120, 'timestamp': '2025-01-02 00:00:00'}
Device: tv, Data: {'device_id': 101, 'playback': 'Netflix', 'status': 'on', 'energy_consumption': 1.3, 'minutes_used': 120, 'timestamp': '2025-01-03 00:00:00'}
Device: tv, Data: {'device_id': 101, 'playback': 'Netflix', 'status': 'on', 'energy_consumption': 1.78, 'minutes_used': 120, 'timestamp': '2025-01-04 00:00:00'}
Device: tv, Data: {'device_id': 101, 'playback': 'Netflix', 'status': 'on', 'energy_consumption': 1.05, 'minutes_used': 120, 'timestamp': '2025-01-05 00:00:00'}
Device: tv, Data: {'device_id': 101, 'playback': 'Netflix', 'status': 'on', 'energy_consumption': 1.18, 'minutes_used': 120, 'timestamp': '2025-01-06 00:00:00'}
Device: tv, Data: {'device_id': 101, 'playback': 'Netflix', 'status': 'on', 'energy_consumption': 1.91, 'minutes_used': 120, 'timestamp': '2025-01-07 00:00:00'}
Device: tv, Data: {'device_id': 101, 'playback': 'Netflix', 'status': 'on', 'energy_consumption': 0.61, 'minutes_used': 120, 'timestamp': '2025-01-08 00:00:00'}
Device: tv, Data: {'device_id': 101, 'playback': 'Netflix', 'status': 'on', 'energy_consumption': 0.78, 'minutes_used': 120, 'timestamp': '2025-01-09 00:00:00'}
Device: tv, Data: {'device_id': 101, 'playback': 'Netflix', 'status': 'on', 'energy_consumption': 1.74, 'minutes_used': 120, 'timestamp': '2025-01-10 00:00:00'}
Device: tv, Data: {'device_id': 101, 'playback': 'Netflix', 'status': 'on', 'energy_consumption': 1.5, 'minutes_used': 45, 'timestamp': '2026-01-14 12:26:44'}
Device: tv, Data: {'device_id': 101, 'playback': 'Hulu', 'status': 'on', 'energy_consumption': 0.0, 'minutes_used': 0, 'timestamp': '2017-03-03 00:00:00'}
Device: tv, Data: {'device_id': 101, 'playback': 'Netflix', 'status': 'on', 'energy_consumption': 1.2, 'minutes_used': 45, 'timestamp': '2026-03-10 21:21:55'}
Device: tv, Data: {'device_id': 101, 'playback': 'Netflix', 'status': 'on', 'energy_consumption': 1.02, 'minutes_used': 67, 'timestamp': '2024-03-01 07:34:53'}
Device: tv, Data: {'device_id': 101, 'playback': 'Netflix', 'status': 'on', 'energy_consumption': 1.9, 'minutes_used': 106, 'timestamp': '2024-03-02 19:12:34'}
Device: tv, Data: {'device_id': 101, 'playback': 'Netflix', 'status': 'on', 'energy_consumption': 1.21, 'minutes_used': 116, 'timestamp': '2024-03-03 07:04:35'}
